DRUG_TYPE,DRUG_DESCRIPTOR,TARGET_TYPE,TWEET_COUNT,COMPANY_TYPE,NUMBER_OF_MONTHS,MARKET_CAP,CAGR_2,CAGR_5,STATUS,HIGHEST_DEV_STAGE,THERAPY_AREA,INDICATION,MOL_TYPE,TRIAL_COUNT,PUBLIC_NEWS,PUBLICATION_COUNT,DEALS,DEAL_STATUS,DEAL_AMOUNT,DEAL_TYPE,ACQUIRED,HOT/NOT
1,7,14,1000,1,0,0,0,0,4,6,8,6,10,1,8,21317,8,3,48.41,10,0,1
1,14,18,46,2,46,30769.5,204.212,56.052,4,7,8,6,6,7,7,659,3,1,4880,0,1,1
1,2,19,64,2,0,202097,169.431,48.655,4,6,4,15,8,7,0,1207,0,6,0,6,0,1
1,2,19,64,1,0,0,0,0,4,5,4,7,8,1,1,1207,1,1,114,10,0,1
1,5,9,0,1,0,0,0,0,2,3,8,4,6,0,3,180963,1,1,53,10,0,0
1,9,0,0,1,83,0,0,0,3,4,0,7,8,14,42,12421,8,1,49,3,0,1
1,13,17,30,2,77,157870.78,242.103,63.55,0,6,8,6,6,5,3,952,0,6,0,6,0,1
1,7,1,200,1,0,0,0,0,2,3,8,4,6,0,0,47302,0,6,0,6,0,0
1,14,17,30,2,49,1228.31,81.53,26.934,6,6,8,18,8,18,39,952,17,1,132.06,1,0,1
1,5,13,0,2,0,197120,81.53,26.934,2,3,8,4,10,0,0,0,4,1,393.57,0,1,0
1,9,15,6,2,86,5992.51,1.18,0.47,2,5,0,14,8,19,0,579,0,6,0,6,0,1
1,7,13,0,1,0,0,0,0,2,3,8,18,3,0,0,0,2,1,665,0,1,0
1,13,13,0,1,0,0,0,0,2,3,8,4,6,0,0,0,0,1,0,6,0,0
1,4,13,0,2,0,110.77,-54.135,-26.786,2,3,8,4,10,0,13,0,8,1,324.56,3,0,0
1,9,13,0,2,0,202097,169.431,48.655,2,3,8,4,9,1,0,0,1,5,160000,0,1,0
1,14,17,30,2,39,179159,288.996,72.178,1,6,8,19,8,4,0,952,1,1,0,1,0,1
1,14,7,459,2,0,63303.24,140.22,41.987,2,3,8,4,8,0,0,77020,1,1,0,0,1,0
1,14,7,459,1,143,0,0,0,2,3,8,4,8,33,19,77020,7,1,210.5,10,0,0
1,7,6,0,2,0,353.15,-77.176,-44.62,8,6,8,19,6,4,49,532,7,1,253.4,5,0,1
1,9,15,6,1,0,0,0,0,8,1,0,8,8,0,0,579,0,6,0,6,0,1
1,14,19,64,2,0,323.82,70.343,23.746,8,3,4,14,8,0,0,1207,5,1,4.69,3,0,1
1,13,13,0,2,0,197120,81.53,26.934,2,3,8,4,6,0,0,0,1,1,0,5,0,0
1,9,15,6,2,0,202097,169.431,48.655,8,9,0,12,8,0,0,579,0,6,0,6,0,1
1,13,16,14,0,0,0,0,0,2,3,8,4,6,0,0,2772,0,6,0,6,0,0
1,13,6,0,2,0,53377.31,-11.486,-4.763,2,3,10,11,6,0,0,532,4,1,94423.71,0,1,1
1,12,13,0,2,0,136.52,-61.414,-31.676,2,3,8,19,6,0,0,0,13,1,228.54,3,0,0
